收费站,时间区间起点,入站车流,出站车流
收费站12,2022-02-22 00:00:00,1,0
收费站12,2022-02-22 01:00:00,0,0
收费站12,2022-02-22 02:00:00,1,1
收费站12,2022-02-22 03:00:00,3,0
收费站12,2022-02-22 04:00:00,5,0
收费站12,2022-02-22 05:00:00,4,0
收费站12,2022-02-22 06:00:00,11,0
收费站12,2022-02-22 07:00:00,30,1
收费站12,2022-02-22 08:00:00,32,1
收费站12,2022-02-22 09:00:00,45,2
收费站12,2022-02-22 10:00:00,29,5
收费站12,2022-02-22 11:00:00,21,2
收费站12,2022-02-22 12:00:00,28,0
收费站12,2022-02-22 13:00:00,18,1
收费站12,2022-02-22 14:00:00,29,1
收费站12,2022-02-22 15:00:00,24,3
收费站12,2022-02-22 16:00:00,23,4
收费站12,2022-02-22 17:00:00,36,2
收费站12,2022-02-22 18:00:00,29,7
收费站12,2022-02-22 19:00:00,13,1
收费站12,2022-02-22 20:00:00,5,4
收费站12,2022-02-22 21:00:00,3,3
收费站12,2022-02-22 22:00:00,7,1
收费站12,2022-02-22 23:00:00,4,2
收费站12,2022-02-23 00:00:00,2,1
收费站12,2022-02-23 01:00:00,2,0
收费站12,2022-02-23 02:00:00,1,0
收费站12,2022-02-23 03:00:00,2,0
收费站12,2022-02-23 04:00:00,4,0
收费站12,2022-02-23 05:00:00,5,0
收费站12,2022-02-23 06:00:00,14,0
收费站12,2022-02-23 07:00:00,31,0
收费站12,2022-02-23 08:00:00,38,2
收费站12,2022-02-23 09:00:00,29,1
收费站12,2022-02-23 10:00:00,25,1
收费站12,2022-02-23 11:00:00,19,2
收费站12,2022-02-23 12:00:00,20,0
收费站12,2022-02-23 13:00:00,26,1
收费站12,2022-02-23 14:00:00,33,2
收费站12,2022-02-23 15:00:00,23,2
收费站12,2022-02-23 16:00:00,16,2
收费站12,2022-02-23 17:00:00,22,5
收费站12,2022-02-23 18:00:00,23,2
收费站12,2022-02-23 19:00:00,15,3
收费站12,2022-02-23 20:00:00,10,5
收费站12,2022-02-23 21:00:00,4,1
收费站12,2022-02-23 22:00:00,4,0
收费站12,2022-02-23 23:00:00,3,2
收费站12,2022-02-24 00:00:00,2,0
收费站12,2022-02-24 01:00:00,1,1
收费站12,2022-02-24 02:00:00,0,1
收费站12,2022-02-24 03:00:00,3,2
收费站12,2022-02-24 04:00:00,7,1
收费站12,2022-02-24 05:00:00,4,0
收费站12,2022-02-24 06:00:00,14,1
收费站12,2022-02-24 07:00:00,35,0
收费站12,2022-02-24 08:00:00,30,1
收费站12,2022-02-24 09:00:00,36,3
收费站12,2022-02-24 10:00:00,37,6
收费站12,2022-02-24 11:00:00,19,1
收费站12,2022-02-24 12:00:00,21,0
收费站12,2022-02-24 13:00:00,18,2
收费站12,2022-02-24 14:00:00,18,3
收费站12,2022-02-24 15:00:00,13,3
收费站12,2022-02-24 16:00:00,24,4
收费站12,2022-02-24 17:00:00,22,3
收费站12,2022-02-24 18:00:00,27,6
收费站12,2022-02-24 19:00:00,16,2
收费站12,2022-02-24 20:00:00,12,2
收费站12,2022-02-24 21:00:00,5,4
收费站12,2022-02-24 22:00:00,0,1
收费站12,2022-02-24 23:00:00,1,2
收费站12,2022-02-25 00:00:00,1,0
收费站12,2022-02-25 01:00:00,2,1
收费站12,2022-02-25 02:00:00,4,0
收费站12,2022-02-25 03:00:00,3,0
收费站12,2022-02-25 04:00:00,7,0
收费站12,2022-02-25 05:00:00,2,2
收费站12,2022-02-25 06:00:00,10,1
收费站12,2022-02-25 07:00:00,13,0
收费站12,2022-02-25 08:00:00,40,0
收费站12,2022-02-25 09:00:00,27,3
收费站12,2022-02-25 10:00:00,25,3
收费站12,2022-02-25 11:00:00,27,2
收费站12,2022-02-25 12:00:00,20,3
收费站12,2022-02-25 13:00:00,15,5
收费站12,2022-02-25 14:00:00,27,4
收费站12,2022-02-25 15:00:00,29,4
收费站12,2022-02-25 16:00:00,50,6
收费站12,2022-02-25 17:00:00,52,5
收费站12,2022-02-25 18:00:00,43,3
收费站12,2022-02-25 19:00:00,23,1
收费站12,2022-02-25 20:00:00,9,3
收费站12,2022-02-25 21:00:00,5,2
收费站12,2022-02-25 22:00:00,3,1
收费站12,2022-02-25 23:00:00,1,2
收费站12,2022-02-26 00:00:00,0,2
收费站12,2022-02-26 01:00:00,1,2
收费站12,2022-02-26 02:00:00,2,2
收费站12,2022-02-26 03:00:00,0,1
收费站12,2022-02-26 04:00:00,0,1
收费站12,2022-02-26 05:00:00,6,0
收费站12,2022-02-26 06:00:00,11,0
收费站12,2022-02-26 07:00:00,15,1
收费站12,2022-02-26 08:00:00,21,1
收费站12,2022-02-26 09:00:00,24,2
收费站12,2022-02-26 10:00:00,29,2
收费站12,2022-02-26 11:00:00,23,5
收费站12,2022-02-26 12:00:00,23,2
收费站12,2022-02-26 13:00:00,19,4
收费站12,2022-02-26 14:00:00,40,6
收费站12,2022-02-26 15:00:00,38,4
收费站12,2022-02-26 16:00:00,28,2
收费站12,2022-02-26 17:00:00,41,5
收费站12,2022-02-26 18:00:00,32,4
收费站12,2022-02-26 19:00:00,8,5
收费站12,2022-02-26 20:00:00,5,3
收费站12,2022-02-26 21:00:00,4,1
收费站12,2022-02-26 22:00:00,1,1
收费站12,2022-02-26 23:00:00,1,1
收费站12,2022-02-27 00:00:00,0,1
收费站12,2022-02-27 01:00:00,0,1
收费站12,2022-02-27 02:00:00,4,0
收费站12,2022-02-27 03:00:00,3,1
收费站12,2022-02-27 04:00:00,3,1
收费站12,2022-02-27 05:00:00,3,0
收费站12,2022-02-27 06:00:00,7,0
收费站12,2022-02-27 07:00:00,17,1
收费站12,2022-02-27 08:00:00,25,2
收费站12,2022-02-27 09:00:00,29,5
收费站12,2022-02-27 10:00:00,30,3
收费站12,2022-02-27 11:00:00,28,3
收费站12,2022-02-27 12:00:00,19,5
收费站12,2022-02-27 13:00:00,23,1
收费站12,2022-02-27 14:00:00,51,10
收费站12,2022-02-27 15:00:00,61,5
收费站12,2022-02-27 16:00:00,62,2
收费站12,2022-02-27 17:00:00,55,3
收费站12,2022-02-27 18:00:00,49,5
收费站12,2022-02-27 19:00:00,11,2
收费站12,2022-02-27 20:00:00,6,2
收费站12,2022-02-27 21:00:00,6,2
收费站12,2022-02-27 22:00:00,6,2
收费站12,2022-02-27 23:00:00,0,6
收费站11,2022-02-22 00:00:00,2,1
收费站11,2022-02-22 01:00:00,0,0
收费站11,2022-02-22 02:00:00,1,1
收费站11,2022-02-22 03:00:00,2,0
收费站11,2022-02-22 04:00:00,1,1
收费站11,2022-02-22 05:00:00,1,0
收费站11,2022-02-22 06:00:00,13,3
收费站11,2022-02-22 07:00:00,40,3
收费站11,2022-02-22 08:00:00,66,14
收费站11,2022-02-22 09:00:00,54,13
收费站11,2022-02-22 10:00:00,34,9
收费站11,2022-02-22 11:00:00,36,16
收费站11,2022-02-22 12:00:00,38,16
收费站11,2022-02-22 13:00:00,39,10
收费站11,2022-02-22 14:00:00,39,19
收费站11,2022-02-22 15:00:00,39,15
收费站11,2022-02-22 16:00:00,39,26
收费站11,2022-02-22 17:00:00,35,25
收费站11,2022-02-22 18:00:00,40,27
收费站11,2022-02-22 19:00:00,15,19
收费站11,2022-02-22 20:00:00,18,13
收费站11,2022-02-22 21:00:00,9,6
收费站11,2022-02-22 22:00:00,6,7
收费站11,2022-02-22 23:00:00,4,2
收费站11,2022-02-23 00:00:00,1,3
收费站11,2022-02-23 01:00:00,2,4
收费站11,2022-02-23 02:00:00,0,1
收费站11,2022-02-23 03:00:00,3,0
收费站11,2022-02-23 04:00:00,1,1
收费站11,2022-02-23 05:00:00,10,1
收费站11,2022-02-23 06:00:00,11,3
收费站11,2022-02-23 07:00:00,32,8
收费站11,2022-02-23 08:00:00,56,5
收费站11,2022-02-23 09:00:00,57,10
收费站11,2022-02-23 10:00:00,48,19
收费站11,2022-02-23 11:00:00,20,11
收费站11,2022-02-23 12:00:00,28,12
收费站11,2022-02-23 13:00:00,27,18
收费站11,2022-02-23 14:00:00,41,9
收费站11,2022-02-23 15:00:00,31,20
收费站11,2022-02-23 16:00:00,24,13
收费站11,2022-02-23 17:00:00,31,21
收费站11,2022-02-23 18:00:00,30,22
收费站11,2022-02-23 19:00:00,13,17
收费站11,2022-02-23 20:00:00,13,12
收费站11,2022-02-23 21:00:00,6,7
收费站11,2022-02-23 22:00:00,6,6
收费站11,2022-02-23 23:00:00,1,5
收费站11,2022-02-24 00:00:00,3,6
收费站11,2022-02-24 01:00:00,1,2
收费站11,2022-02-24 02:00:00,0,1
收费站11,2022-02-24 03:00:00,5,1
收费站11,2022-02-24 04:00:00,0,2
收费站11,2022-02-24 05:00:00,1,1
收费站11,2022-02-24 06:00:00,11,3
收费站11,2022-02-24 07:00:00,29,4
收费站11,2022-02-24 08:00:00,57,9
收费站11,2022-02-24 09:00:00,51,14
收费站11,2022-02-24 10:00:00,26,20
收费站11,2022-02-24 11:00:00,15,9
收费站11,2022-02-24 12:00:00,24,17
收费站11,2022-02-24 13:00:00,39,11
收费站11,2022-02-24 14:00:00,41,12
收费站11,2022-02-24 15:00:00,31,11
收费站11,2022-02-24 16:00:00,28,33
收费站11,2022-02-24 17:00:00,26,17
收费站11,2022-02-24 18:00:00,32,21
收费站11,2022-02-24 19:00:00,23,14
收费站11,2022-02-24 20:00:00,11,12
收费站11,2022-02-24 21:00:00,12,7
收费站11,2022-02-24 22:00:00,5,6
收费站11,2022-02-24 23:00:00,4,6
收费站11,2022-02-25 00:00:00,2,0
